,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Coefficients,-9.949646269919228,-1463.2691824517653,-1150.382609247284,-1825.0192183019485,-1060.429740358577,-1693.433262736339,-1479.4398448108552,-1507.2470975938734,-1663.9827591000362,-1743.9094466365223,-419.8532581444839,-1569.3914492814654,-1386.185497179863,-1228.053829590565,2762.77638790665,-1171.7420538105102,-1394.3626512586131,-1438.1048999878806,488.189666843991,-1559.6054197412943,-1324.4295339137273
Intercept,2626.2338437213875,2626.2338437213875,2626.2338437213875,2626.2338437213875,2626.2338437213875,2626.2338437213875,2626.2338437213875,2626.2338437213875,2626.2338437213875,2626.2338437213875,2626.2338437213875,2626.2338437213875,2626.2338437213875,2626.2338437213875,2626.2338437213875,2626.2338437213875,2626.2338437213875,2626.2338437213875,2626.2338437213875,2626.2338437213875,2626.2338437213875
R-squared,0.97800260246009,0.97800260246009,0.97800260246009,0.97800260246009,0.97800260246009,0.97800260246009,0.97800260246009,0.97800260246009,0.97800260246009,0.97800260246009,0.97800260246009,0.97800260246009,0.97800260246009,0.97800260246009,0.97800260246009,0.97800260246009,0.97800260246009,0.97800260246009,0.97800260246009,0.97800260246009,0.97800260246009
Adjusted R-squared,0.9701730202848677,0.9701730202848677,0.9701730202848677,0.9701730202848677,0.9701730202848677,0.9701730202848677,0.9701730202848677,0.9701730202848677,0.9701730202848677,0.9701730202848677,0.9701730202848677,0.9701730202848677,0.9701730202848677,0.9701730202848677,0.9701730202848677,0.9701730202848677,0.9701730202848677,0.9701730202848677,0.9701730202848677,0.9701730202848677,0.9701730202848677
Mean Squared Error,30891.05350217057,30891.05350217057,30891.05350217057,30891.05350217057,30891.05350217057,30891.05350217057,30891.05350217057,30891.05350217057,30891.05350217057,30891.05350217057,30891.05350217057,30891.05350217057,30891.05350217057,30891.05350217057,30891.05350217057,30891.05350217057,30891.05350217057,30891.05350217057,30891.05350217057,30891.05350217057,30891.05350217057
Root Mean Squared Error,175.75850904627796,175.75850904627796,175.75850904627796,175.75850904627796,175.75850904627796,175.75850904627796,175.75850904627796,175.75850904627796,175.75850904627796,175.75850904627796,175.75850904627796,175.75850904627796,175.75850904627796,175.75850904627796,175.75850904627796,175.75850904627796,175.75850904627796,175.75850904627796,175.75850904627796,175.75850904627796,175.75850904627796
F-statistic,124.911212446957,124.911212446957,124.911212446957,124.911212446957,124.911212446957,124.911212446957,124.911212446957,124.911212446957,124.911212446957,124.911212446957,124.911212446957,124.911212446957,124.911212446957,124.911212446957,124.911212446957,124.911212446957,124.911212446957,124.911212446957,124.911212446957,124.911212446957,124.911212446957
